"filename", "language", "JavaScript", "JSON", "HTML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\README.md", "Markdown", 0, 0, 0, 0, 38, 0, 33, 71
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\package-lock.json", "JSON", 0, 17180, 0, 0, 0, 0, 1, 17181
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\package.json", "JSON", 0, 53, 0, 0, 0, 0, 1, 54
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\public\index.html", "HTML", 0, 0, 23, 0, 0, 23, 1, 47
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 1, 26
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\messageGroups\index.js", "JavaScript", 32, 0, 0, 0, 0, 1, 10, 43
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\messageGroups\types.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\scheduledMessages\index.js", "JavaScript", 32, 0, 0, 0, 0, 1, 10, 43
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\scheduledMessages\types.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\users\index.js", "JavaScript", 46, 0, 0, 0, 0, 2, 12, 60
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\actions\users\types.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\apis\messageGroups.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\apis\scheduledMessages.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\apis\users.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\ugniu\OneDrive\Documents\Portfolio\Bakalauras\administravimosistema\client\src\components\App.js", "JavaScript", 41, 0, 0, 0, 0, 0, 4, 45
